province,province_id,year,suicide,population,E,debt,income,poverty,expenditure,homicide crime,property crime,shocking crime
Kanchanaburi,16,2012,67,838591,56.42359375,16857.02801,16660.02801,21.29321013,15873.29538,340.7726013,594.4529798,60.37226765
Khon Kaen,17,2012,79,1770441,119.1220079,17287.1608,17090.1608,9.585083937,13260.74367,431.272057,801.5008105,67.02349385
Krabi,18,2012,39,441503,29.70600199,31312.491,31115.491,6.776756911,21036.45772,268.8899579,468.9403223,64.96630601
Lampang,19,2012,70,757173,50.94548088,19079.17027,18882.17027,13.94672378,15059.62029,173.3635572,324.9710787,32.92466339
Lamphun,20,2012,48,404313,27.20371726,20581.99424,20384.99424,7.543415167,18066.94268,113.7028272,351.0715409,16.00872514
Loei,21,2012,41,627354,42.21076453,17846.35799,17649.35799,10.34409948,14907.05452,160.726075,264.3445754,28.40731232
Lop Buri,22,2012,71,757093,50.94009817,19862.6139,19665.6139,13.75265079,15858.03052,268.0532451,564.5092779,47.42605137
Mae Hong Son,23,2012,34,244202,16.43083988,9515.297345,9318.297345,57.25593487,7649.629188,59.12774314,76.24301652,9.280105854
Maha Sarakham,24,2012,32,942442,63.41108424,23683.98554,23486.98554,16.33187824,15573.76023,210.3140896,344.9828796,19.39531901
Mukdahan,25,2012,13,341725,22.99255844,18678.95126,18481.95126,22.01198497,14281.42787,95.29161488,114.7802669,15.91839503
Nakhon Nayok,26,2012,25,254502,17.12386307,19801.82735,19604.82735,10.93137262,15735.6537,100.6777657,254.8686509,20.63453346
Nakhon Pathom,27,2012,51,870340,58.5597873,26776.58747,26579.58747,3.542049027,19253.32901,414.1641145,979.763089,74.4616584
Nakhon Phanom,28,2012,26,706559,47.53997834,14475.33395,14278.33395,31.22179673,11596.7577,116.9761964,158.4550394,22.13066061
Nakhon Ratchasima,29,2012,183,2593246,174.4834595,21101.71936,20904.71936,15.23909585,15191.40767,752.1039113,858.3588562,71.56733351
Nakhon Sawan,30,2012,91,1072516,72.16295796,22655.0412,22458.0412,12.43320906,14168.3235,474.1974486,862.6881139,70.05585493
Nakhon Si Thammarat,31,2012,131,1530479,102.9764514,28882.07401,28685.07401,10.95042513,20891.77588,795.2193288,1016.165563,182.2188598
Nan,32,2012,72,477142,32.10392953,17026.67346,16829.67346,23.1222864,14002.12402,108.8583606,144.3652704,13.86029926
